São Paulo,Rio de Janeiro,Minas Gerais,Rio Grande do Sul,Pernambuco,Ceará,Bahia,Paraná,Pará,Goiás,Amazonas,Espírito Santo,Alagoas,Rio Grande do Norte,Maranhão,Santa Catarina,Paraíba,Piauí,Mato Grosso,Mato Grosso do Sul,Sergipe,Amapá,Rondônia,Acre,Tocantins,Roraima
0.0,354.55732114895113,492.56174503086083,852.7637021355068,2126.9512683647326,2366.8056442980705,1457.5325852189137,342.44351997770644,2467.2658547350247,810.2581741905569,2692.100334920603,739.0780817445958,1934.8966926677808,2323.038817472547,2354.3120812136726,485.99755083778155,2219.3747721065556,2094.6754771826522,1330.5076653383737,893.5255978682686,1731.0877013374218,2667.276248003263,2468.5339408544323,2708.5592700284105,1492.1627781240088,3304.5366034004887
354.55732114895113,0.0,342.33792618067423,1121.0722756624782,1875.035468394407,2190.6470807390324,1215.4656870939993,677.7926225545051,2455.1467504145908,938.0033280477644,2850.9572008929763,413.6047339235528,1681.3337023744407,2090.563375169076,2272.863474339,742.6575834870264,1973.8552265548574,1983.803733157728,1577.6052559737007,1208.7583824780613,1486.3006103273858,2690.286145494203,2710.2429869916523,2984.087454273003,1510.3881817177858,3431.9195708065317
492.56174503086083,342.33792618067423,0.0,1344.5679172488665,1635.0865147438715,1888.8345046816075,965.600359746823,826.0137475457184,2113.0324825417565,670.440922272774,2558.5204895928623,373.43891684472493,1443.4940668698068,1830.75644792348,1935.6634768199751,972.7094240921667,1726.9408698424593,1652.9979177267428,1376.313628126286,1118.6329666660995,1238.956224572238,2351.045347160776,2482.0025714464578,2790.4951632628577,1174.123563091718,3120.7691484908246
852.7637021355068,1121.0722756624782,1344.5679172488665,0.0,2975.5314063476944,3212.5037475591585,2306.9601067826334,547.2123947591328,3194.1280931813017,1495.2396538743888,3137.7001197859827,1534.3092343770325,2782.6680609695823,3175.307749899722,3148.6860516267343,379.04591701705925,3069.619613680689,2912.9513070582234,1686.1184392968623,1121.55466877352,2580.6625925375856,3346.164787026214,2712.8196150424637,2820.3694512317916,2224.3106079250056,3791.702725779238
2126.9512683647326,1875.035468394407,1635.0865147438715,2975.5314063476944,0.0,629.1085390836922,669.4888559494809,2460.0334237067095,1673.6635276180457,1833.1725665157846,2830.3947141456642,1483.2171130069341,193.70238968527147,257.83903500766695,1205.8200120492086,2598.939651117242,108.48092598315957,929.9754922679418,2448.54626502086,2526.112205734435,396.44542391615494,2003.1874080064795,3189.355450937051,3617.1664047574427,1487.8197970904334,3103.051463194883
2366.8056442980705,2190.6470807390324,1888.8345046816075,3212.5037475591585,629.1085390836922,0.0,1025.5979697117107,2669.620934656756,1129.3229669588166,1857.8315982922443,2379.3231282996876,1853.6521216904484,724.8056074697929,433.6297041855798,646.2390357653213,2852.8031930904276,554.1665674340816,489.1997622484519,2323.301888810802,2543.015110922859,811.4183220616605,1448.5145129600917,2853.129686702234,3298.009997618019,1291.5471242944652,2561.5167805979822
1457.5325852189137,1215.4656870939993,965.600359746823,2306.9601067826334,669.4888559494809,1025.5979697117107,0.0,1790.7944180607103,1689.7539807599837,1235.5097312753667,2608.99657822529,842.2727077794834,478.3208570154082,875.1219581304689,1325.733549704498,1931.1839478443073,762.7602075088987,994.9888068839676,1919.0393063235636,1908.004636407462,273.70622663498153,2003.2889487041282,2814.714210482236,3211.740923679222,1110.8385476381256,3014.187439434373
342.44351997770644,677.7926225545051,826.0137475457184,547.2123947591328,2460.0334237067095,2669.620934656756,1790.7944180607103,0.0,2667.7008357396794,967.7017694308656,2732.905297111911,1078.0793543244204,2269.0111435344206,2649.3710483341647,2604.4542698698115,253.10771157253478,2550.3086986345256,2365.8236608635693,1302.097896093674,774.3801387241771,2063.630873726056,2837.2315684478576,2412.0741025182015,2599.2074966840214,1692.2308498363484,3370.5118342190412
2467.2658547350247,2455.1467504145908,2113.0324825417565,3194.1280931813017,1673.6635276180457,1129.3229669588166,1689.7539807599837,2667.7008357396794,0.0,1700.850548303953,1293.3971616653575,2277.0156557385,1677.7348936063668,1546.303983560051,483.2083885298415,2906.4386669693567,1634.0404385778293,751.5963015426846,1778.3727923601607,2216.034408675729,1636.8346536056206,330.0136865511948,1890.4126678067053,2336.7918229228367,977.6852748867132,1435.719677479651
810.2581741905569,938.0033280477644,670.440922272774,1495.2396538743888,1833.1725665157846,1857.8315982922443,1235.5097312753667,967.7017694308656,1700.850548303953,0.0,1913.740172267338,1023.7029461849297,1667.307214282777,1955.7455040410305,1673.0745088630997,1210.6138237157347,1897.8756546021107,1475.5083177928555,736.089989959804,697.244049457179,1465.5323070873374,1873.2842328046615,1813.7319493925036,2136.7671193609335,729.2800428201119,2506.1400537406716
2692.100334920603,2850.9572008929763,2558.5204895928623,3137.7001197859827,2830.3947141456642,2379.3231282996876,2608.99657822529,2732.905297111911,1293.3971616653575,1913.740172267338,0.0,2863.9645226821744,2777.525073760207,2761.5356969275713,1749.174539051333,2983.591911421683,2818.064006829707,1923.1914720104728,1451.7559421692733,2016.1623877822951,2668.637082931146,1054.2846148552546,762.2106857314558,1151.2508357171837,1517.3136630376036,662.1996758401623
739.0780817445958,413.6047339235528,373.43891684472493,1534.3092343770325,1483.2171130069341,1853.6521216904484,842.2727077794834,1078.0793543244204,2277.0156557385,1023.7029461849297,2863.9645226821744,0.0,1290.2755062838526,1709.8564713256192,2025.5010374762633,1156.177742031394,1585.3283932910144,1713.914339065203,1744.3170884337108,1485.4018189962414,1104.2482073761726,2545.4959007137127,2836.501769539807,3156.357940136933,1406.6866483297217,3395.7279215594885
1934.8966926677808,1681.3337023744407,1443.4940668698068,2782.6680609695823,193.70238968527147,724.8056074697929,478.3208570154082,2269.0111435344206,1677.7348936063668,1667.307214282777,2777.525073760207,1290.2755062838526,0.0,430.5226313721704,1230.681202751693,2405.811638959309,295.51286967814815,926.1867914053566,2304.94112844752,2355.8026374112583,208.36277212565508,2007.2908172386435,3093.837617563984,3513.996165050731,1377.5065672105027,3090.0435021536196
2323.038817472547,2090.563375169076,1830.75644792348,3175.307749899722,257.83903500766695,433.6297041855798,875.1219581304689,2649.3710483341647,1546.303983560051,1955.7455040410305,2761.5356969275713,1709.8564713256192,430.5226313721704,0.0,1064.9811861512642,2801.83773484932,152.35061255953076,838.3579936742035,2522.115814784414,2652.9718745920554,605.8910998701972,1870.8417963437707,3178.5546539359034,3615.830865070657,1519.8572273230125,2981.9472429967727
2354.3120812136726,2272.863474339,1935.6634768199751,3148.6860516267343,1205.8200120492086,646.2390357653213,1325.733549704498,2604.4542698698115,483.2083885298415,1673.0745088630997,1749.174539051333,2025.5010374762633,1230.681202751693,1064.9811861512642,0.0,2824.341927499618,1158.7387740535364,330.8846070009889,1945.6867859557751,2289.1719575923444,1221.3291642842212,805.8662976872716,2280.123935081785,2728.920359482248,966.9629523029631,1917.5294901699356
485.99755083778155,742.6575834870264,972.7094240921667,379.04591701705925,2598.939651117242,2852.8031930904276,1931.1839478443073,253.10771157253478,2906.4386669693567,1210.6138237157347,2983.591911421683,1156.177742031394,2405.811638959309,2801.83773484932,2824.341927499618,0.0,2693.936186968721,2573.7670038489837,1547.1113682693617,1005.8798165455265,2204.785491207273,3083.247979884328,2644.9367565611624,2812.9678545527936,1929.1342759067516,3622.802109130257
2219.3747721065556,1973.8552265548574,1726.9408698424593,3069.619613680689,108.48092598315957,554.1665674340816,762.7602075088987,2550.3086986345256,1634.0404385778293,1897.8756546021107,2818.064006829707,1585.3283932910144,295.51286967814815,152.35061255953076,1158.7387740535364,2693.936186968721,0.0,902.1517964075977,2494.816355775344,2593.3640130283443,489.1779522716141,1962.028419095162,3201.9598235964636,3634.0392204772747,1515.1765522838102,3068.1141754091595
2094.6754771826522,1983.803733157728,1652.9979177267428,2912.9513070582234,929.9754922679418,489.1997622484519,994.9888068839676,2365.8236608635693,751.5963015426846,1475.5083177928555,1923.1914720104728,1713.914339065203,926.1867914053566,838.3579936742035,330.8846070009889,2573.7670038489837,902.1517964075977,0.0,1862.8757095876738,2134.010378014556,897.3465471482307,1081.3337680458824,2366.620621478802,2810.436444637106,834.0149074213297,2173.5610541651395
